,patient,accuracy,channels
0,1,0.7,2
1,1,0.6666666666666666,2
2,1,0.6,2
3,1,0.6333333333333333,2
4,1,0.6333333333333333,2
5,1,0.6833333333333333,2
6,1,0.5833333333333334,2
7,1,0.5666666666666667,2
8,1,0.65,2
9,1,0.55,2
10,1,0.8833333333333333,10
11,1,0.8666666666666667,10
12,1,0.7333333333333333,10
13,1,0.85,10
14,1,0.8333333333333334,10
15,1,0.8333333333333334,10
16,1,0.8833333333333333,10
17,1,0.8166666666666667,10
18,1,0.7666666666666667,10
19,1,0.8,10
20,1,0.7666666666666667,18
21,1,0.75,18
22,1,0.5666666666666667,18
23,1,0.55,18
24,1,0.5833333333333334,18
25,1,0.6,18
26,1,0.5833333333333334,18
27,1,0.5833333333333334,18
28,1,0.6,18
29,1,0.7,18
30,2,0.43333333333333335,2
31,2,0.48333333333333334,2
32,2,0.55,2
33,2,0.5333333333333333,2
34,2,0.6,2
35,2,0.5166666666666667,2
36,2,0.6,2
37,2,0.5,2
38,2,0.5333333333333333,2
39,2,0.5833333333333334,2
40,2,0.4666666666666667,10
41,2,0.55,10
42,2,0.45,10
43,2,0.5166666666666667,10
44,2,0.5833333333333334,10
45,2,0.55,10
46,2,0.5833333333333334,10
47,2,0.48333333333333334,10
48,2,0.5333333333333333,10
49,2,0.5333333333333333,10
50,2,0.5166666666666667,18
51,2,0.5666666666666667,18
52,2,0.5666666666666667,18
53,2,0.5,18
54,2,0.5166666666666667,18
55,2,0.55,18
56,2,0.6,18
57,2,0.6833333333333333,18
58,2,0.5,18
59,2,0.5,18
60,3,0.7166666666666667,2
61,3,0.7333333333333333,2
62,3,0.6166666666666667,2
63,3,0.7,2
64,3,0.6,2
65,3,0.6666666666666666,2
66,3,0.7166666666666667,2
67,3,0.7833333333333333,2
68,3,0.7333333333333333,2
69,3,0.6333333333333333,2
70,3,0.8,10
71,3,0.9,10
72,3,0.9,10
73,3,0.85,10
74,3,0.8333333333333334,10
75,3,0.85,10
76,3,0.9,10
77,3,0.9166666666666666,10
78,3,0.8,10
79,3,0.8666666666666667,10
80,3,0.8666666666666667,18
81,3,0.9166666666666666,18
82,3,0.9166666666666666,18
83,3,0.9166666666666666,18
84,3,0.8333333333333334,18
85,3,0.8666666666666667,18
86,3,0.8666666666666667,18
87,3,0.9333333333333333,18
88,3,0.8833333333333333,18
89,3,0.8166666666666667,18
90,4,0.7666666666666667,2
91,4,0.85,2
92,4,0.7833333333333333,2
93,4,0.7833333333333333,2
94,4,0.7333333333333333,2
95,4,0.7333333333333333,2
96,4,0.7833333333333333,2
97,4,0.8333333333333334,2
98,4,0.8,2
99,4,0.8166666666666667,2
100,4,0.9,10
101,4,0.85,10
102,4,0.85,10
103,4,0.9,10
104,4,0.9333333333333333,10
105,4,0.8666666666666667,10
106,4,0.9,10
107,4,0.7833333333333333,10
108,4,0.9166666666666666,10
109,4,0.95,10
110,4,0.9,18
111,4,0.9,18
112,4,0.8666666666666667,18
113,4,0.8833333333333333,18
114,4,0.8833333333333333,18
115,4,0.9,18
116,4,0.8833333333333333,18
117,4,0.8,18
118,4,0.9,18
119,4,0.9,18
120,5,0.7166666666666667,2
121,5,0.7,2
122,5,0.7833333333333333,2
123,5,0.7,2
124,5,0.6833333333333333,2
125,5,0.8166666666666667,2
126,5,0.75,2
127,5,0.7333333333333333,2
128,5,0.8,2
129,5,0.7833333333333333,2
130,5,0.7,10
131,5,0.75,10
132,5,0.6833333333333333,10
133,5,0.65,10
134,5,0.7166666666666667,10
135,5,0.8,10
136,5,0.6666666666666666,10
137,5,0.75,10
138,5,0.7,10
139,5,0.7333333333333333,10
140,5,0.75,18
141,5,0.75,18
142,5,0.7333333333333333,18
143,5,0.7166666666666667,18
144,5,0.8,18
145,5,0.8166666666666667,18
146,5,0.7166666666666667,18
147,5,0.7833333333333333,18
148,5,0.8166666666666667,18
149,5,0.75,18
150,6,0.6296296296296297,2
151,6,0.6111111111111112,2
152,6,0.6111111111111112,2
153,6,0.6481481481481481,2
154,6,0.5,2
155,6,0.6666666666666666,2
156,6,0.6481481481481481,2
157,6,0.5925925925925926,2
158,6,0.6481481481481481,2
159,6,0.5740740740740741,2
160,6,0.7037037037037037,10
161,6,0.6851851851851852,10
162,6,0.6666666666666666,10
163,6,0.6111111111111112,10
164,6,0.6851851851851852,10
165,6,0.6296296296296297,10
166,6,0.7037037037037037,10
167,6,0.6296296296296297,10
168,6,0.6481481481481481,10
169,6,0.5925925925925926,10
170,6,0.7407407407407407,18
171,6,0.7777777777777778,18
172,6,0.7592592592592593,18
173,6,0.7407407407407407,18
174,6,0.6296296296296297,18
175,6,0.6666666666666666,18
176,6,0.6111111111111112,18
177,6,0.6481481481481481,18
178,6,0.6481481481481481,18
179,6,0.5925925925925926,18
180,7,0.6111111111111112,2
181,7,0.5694444444444444,2
182,7,0.5555555555555556,2
183,7,0.6111111111111112,2
184,7,0.5416666666666666,2
185,7,0.625,2
186,7,0.5833333333333334,2
187,7,0.5694444444444444,2
188,7,0.5694444444444444,2
189,7,0.625,2
190,7,0.6805555555555556,10
191,7,0.625,10
192,7,0.5972222222222222,10
193,7,0.5833333333333334,10
194,7,0.6388888888888888,10
195,7,0.6944444444444444,10
196,7,0.7222222222222222,10
197,7,0.6527777777777778,10
198,7,0.6388888888888888,10
199,7,0.6388888888888888,10
200,7,0.6805555555555556,18
201,7,0.5833333333333334,18
202,7,0.6527777777777778,18
203,7,0.6527777777777778,18
204,7,0.6944444444444444,18
205,7,0.625,18
206,7,0.5694444444444444,18
