,patient,channels,train,test
0,1,2,0.3250982999999996,0.008710999999999913
1,1,10,0.037641199999999486,0.0015138999999990688
2,1,18,0.5372820000000011,0.007447600000000776
3,1,64,7.264953200000001,0.014449200000001383
4,2,2,0.25129869999999954,0.008659800000000217
5,2,10,0.040943400000003294,0.0014863000000033821
6,2,18,0.522943699999999,0.009901499999998009
7,2,64,6.841073799999997,0.013364299999999218
