,patient,accuracy,class,channels
81,1,1.0,0,18
82,1,0.5454545454545454,1,18
83,1,0.375,2,18
84,1,1.0,0,18
85,1,0.36363636363636365,1,18
86,1,0.5,2,18
87,1,1.0,0,18
88,1,0.7222222222222222,1,18
89,1,0.43478260869565216,2,18
90,2,0.7058823529411765,0,2
91,2,0.0,1,2
92,2,0.7777777777777778,2,2
93,2,0.5714285714285714,0,2
94,2,0.47058823529411764,1,2
95,2,0.4090909090909091,2,2
96,2,0.875,0,2
97,2,0.4090909090909091,1,2
98,2,0.45454545454545453,2,2
99,2,0.7222222222222222,0,2
100,2,0.36363636363636365,1,2
101,2,0.55,2,2
102,2,0.75,0,2
103,2,0.5,1,2
104,2,0.5454545454545454,2,2
105,2,0.72,0,2
106,2,0.2,1,2
107,2,0.6,2,2
108,2,0.85,0,2
109,2,0.22727272727272727,1,2
110,2,0.7777777777777778,2,2
111,2,0.6818181818181818,0,2
112,2,0.3,1,2
113,2,0.5,2,2
114,2,0.8823529411764706,0,2
115,2,0.2916666666666667,1,2
116,2,0.5263157894736842,2,2
117,2,0.6521739130434783,0,2
118,2,0.3684210526315789,1,2
119,2,0.7222222222222222,2,2
120,2,0.7058823529411765,0,10
121,2,0.2,1,10
122,2,0.6111111111111112,2,10
123,2,0.7142857142857143,0,10
124,2,0.4117647058823529,1,10
125,2,0.5,2,10
126,2,0.8125,0,10
127,2,0.2727272727272727,1,10
128,2,0.36363636363636365,2,10
129,2,0.6666666666666666,0,10
130,2,0.4090909090909091,1,10
131,2,0.5,2,10
132,2,0.9,0,10
133,2,0.3888888888888889,1,10
134,2,0.45454545454545453,2,10
135,2,0.72,0,10
136,2,0.3,1,10
137,2,0.6,2,10
138,2,0.85,0,10
139,2,0.2727272727272727,1,10
140,2,0.6666666666666666,2,10
141,2,0.7727272727272727,0,10
142,2,0.2,1,10
143,2,0.4444444444444444,2,10
144,2,0.8235294117647058,0,10
145,2,0.375,1,10
146,2,0.47368421052631576,2,10
147,2,0.7391304347826086,0,10
148,2,0.2631578947368421,1,10
149,2,0.5555555555555556,2,10
150,2,0.8235294117647058,0,18
151,2,0.24,1,18
152,2,0.6111111111111112,2,18
153,2,0.6666666666666666,0,18
154,2,0.7058823529411765,1,18
155,2,0.36363636363636365,2,18
156,2,0.8125,0,18
157,2,0.45454545454545453,1,18
158,2,0.5,2,18
159,2,0.8333333333333334,0,18
160,2,0.3181818181818182,1,18
161,2,0.4,2,18
162,2,0.8,0,18
163,2,0.3333333333333333,1,18
164,2,0.4090909090909091,2,18
165,2,0.76,0,18
166,2,0.4,1,18
167,2,0.4,2,18
168,2,0.8,0,18
169,2,0.4090909090909091,1,18
170,2,0.6111111111111112,2,18
171,2,0.8181818181818182,0,18
172,2,0.55,1,18
173,2,0.6666666666666666,2,18
174,2,0.8235294117647058,0,18
175,2,0.2916666666666667,1,18
176,2,0.47368421052631576,2,18
177,2,0.8260869565217391,0,18
178,2,0.3157894736842105,1,18
179,2,0.2777777777777778,2,18
180,3,0.5789473684210527,0,2
181,3,0.8571428571428571,1,2
182,3,0.7,2,2
183,3,0.7692307692307693,0,2
184,3,0.8235294117647058,1,2
185,3,0.5882352941176471,2,2
186,3,0.35714285714285715,0,2
187,3,0.6818181818181818,1,2
188,3,0.7083333333333334,2,2
189,3,0.7777777777777778,0,2
190,3,0.8571428571428571,1,2
191,3,0.47619047619047616,2,2
192,3,0.5238095238095238,0,2
193,3,0.875,1,2
194,3,0.4782608695652174,2,2
195,3,0.6875,0,2
196,3,0.8095238095238095,1,2
197,3,0.5217391304347826,2,2
198,3,0.5454545454545454,0,2
199,3,0.9444444444444444,1,2
200,3,0.7,2,2
201,3,0.8571428571428571,0,2
202,3,0.8636363636363636,1,2
203,3,0.6666666666666666,2,2
204,3,0.6111111111111112,0,2
205,3,0.9090909090909091,1,2
206,3,0.65,2,2
207,3,0.631578947368421,0,2
208,3,0.7777777777777778,1,2
209,3,0.5217391304347826,2,2
210,3,0.6842105263157895,0,10
211,3,0.9523809523809523,1,10
212,3,0.75,2,10
213,3,0.8076923076923077,0,10
214,3,1.0,1,10
215,3,0.9411764705882353,2,10
216,3,0.6428571428571429,0,10
217,3,1.0,1,10
218,3,0.9583333333333334,2,10
219,3,0.6666666666666666,0,10
220,3,0.9047619047619048,1,10
221,3,0.9523809523809523,2,10
222,3,0.6190476190476191,0,10
223,3,1.0,1,10
224,3,0.9130434782608695,2,10
225,3,0.6875,0,10
226,3,1.0,1,10
227,3,0.8260869565217391,2,10
228,3,0.8181818181818182,0,10
229,3,1.0,1,10
230,3,0.9,2,10
231,3,0.7857142857142857,0,10
232,3,1.0,1,10
233,3,0.9166666666666666,2,10
234,3,0.6111111111111112,0,10
235,3,0.9545454545454546,1,10
236,3,0.8,2,10
237,3,0.6842105263157895,0,10
238,3,1.0,1,10
239,3,0.9130434782608695,2,10
240,3,0.8421052631578947,0,18
241,3,0.9523809523809523,1,18
242,3,0.8,2,18
243,3,0.8461538461538461,0,18
244,3,1.0,1,18
245,3,0.9411764705882353,2,18
246,3,0.6428571428571429,0,18
247,3,1.0,1,18
248,3,1.0,2,18
249,3,0.8333333333333334,0,18
250,3,0.9523809523809523,1,18
251,3,0.9523809523809523,2,18
252,3,0.6190476190476191,0,18
253,3,1.0,1,18
254,3,0.9130434782608695,2,18
255,3,0.6875,0,18
256,3,1.0,1,18
257,3,0.8695652173913043,2,18
258,3,0.7272727272727273,0,18
259,3,1.0,1,18
260,3,0.9,2,18
261,3,0.7857142857142857,0,18
262,3,1.0,1,18
263,3,0.9583333333333334,2,18
264,3,0.7222222222222222,0,18
265,3,1.0,1,18
266,3,0.9,2,18
267,3,0.5263157894736842,0,18
268,3,1.0,1,18
269,3,0.9130434782608695,2,18
270,4,0.8421052631578947,0,2
271,4,0.7619047619047619,1,2
272,4,0.7,2,2
273,4,0.9230769230769231,0,2
274,4,0.8235294117647058,1,2
275,4,0.7647058823529411,2,2
276,4,0.8571428571428571,0,2
277,4,0.6818181818181818,1,2
278,4,0.8333333333333334,2,2
279,4,1.0,0,2
280,4,0.8095238095238095,1,2
281,4,0.5714285714285714,2,2
282,4,0.9523809523809523,0,2
283,4,0.5,1,2
284,4,0.6956521739130435,2,2
285,4,0.9375,0,2
286,4,0.6190476190476191,1,2
287,4,0.6956521739130435,2,2
288,4,0.9090909090909091,0,2
289,4,0.6111111111111112,1,2
290,4,0.8,2,2
291,4,0.9285714285714286,0,2
292,4,0.7727272727272727,1,2
293,4,0.8333333333333334,2,2
294,4,0.9444444444444444,0,2
295,4,0.7727272727272727,1,2
296,4,0.7,2,2
297,4,0.9473684210526315,0,2
298,4,0.7222222222222222,1,2
299,4,0.782608695652174,2,2
300,4,0.8947368421052632,0,10
301,4,0.9047619047619048,1,10
302,4,0.9,2,10
303,4,0.8076923076923077,0,10
304,4,1.0,1,10
305,4,0.7647058823529411,2,10
306,4,1.0,0,10
307,4,0.8181818181818182,1,10
308,4,0.7916666666666666,2,10
309,4,1.0,0,10
310,4,0.9523809523809523,1,10
311,4,0.7619047619047619,2,10
312,4,1.0,0,10
313,4,0.9375,1,10
314,4,0.8695652173913043,2,10
315,4,0.875,0,10
316,4,0.7619047619047619,1,10
317,4,0.9565217391304348,2,10
318,4,0.8636363636363636,0,10
319,4,1.0,1,10
320,4,0.85,2,10
321,4,0.8571428571428571,0,10
322,4,0.7727272727272727,1,10
323,4,0.75,2,10
324,4,0.9444444444444444,0,10
325,4,0.9545454545454546,1,10
326,4,0.85,2,10
327,4,1.0,0,10
328,4,0.9444444444444444,1,10
329,4,0.9130434782608695,2,10
330,4,0.9473684210526315,0,18
331,4,0.8571428571428571,1,18
332,4,0.9,2,18
333,4,0.8846153846153846,0,18
334,4,1.0,1,18
335,4,0.8235294117647058,2,18
336,4,0.9285714285714286,0,18
337,4,0.9545454545454546,1,18
338,4,0.75,2,18
339,4,1.0,0,18
340,4,0.9523809523809523,1,18
341,4,0.7142857142857143,2,18
