,patient,accuracy,classifier
178,9,0.7638888888888888,MLP
179,9,0.8472222222222222,MLP
180,10,0.8333333333333334,LDA
181,10,0.85,LDA
182,10,0.8666666666666667,LDA
183,10,0.8666666666666667,LDA
184,10,0.8833333333333333,LDA
185,10,0.8666666666666667,LDA
186,10,0.8333333333333334,LDA
187,10,0.8333333333333334,LDA
188,10,0.8666666666666667,LDA
189,10,0.9,LDA
190,10,0.8833333333333333,MLP
191,10,0.8333333333333334,MLP
192,10,0.85,MLP
193,10,0.7666666666666667,MLP
194,10,0.9333333333333333,MLP
195,10,0.8833333333333333,MLP
196,10,0.8166666666666667,MLP
197,10,0.8166666666666667,MLP
198,10,0.85,MLP
199,10,0.9,MLP
200,11,0.7333333333333333,LDA
201,11,0.65,LDA
202,11,0.7,LDA
203,11,0.6333333333333333,LDA
204,11,0.8,LDA
205,11,0.6833333333333333,LDA
206,11,0.7333333333333333,LDA
207,11,0.8166666666666667,LDA
208,11,0.6666666666666666,LDA
209,11,0.75,LDA
210,11,0.6666666666666666,MLP
211,11,0.65,MLP
212,11,0.6,MLP
213,11,0.65,MLP
214,11,0.7,MLP
215,11,0.65,MLP
216,11,0.65,MLP
217,11,0.7166666666666667,MLP
218,11,0.65,MLP
219,11,0.6666666666666666,MLP
220,12,0.6981132075471698,LDA
221,12,0.8113207547169812,LDA
222,12,0.8113207547169812,LDA
223,12,0.7924528301886793,LDA
224,12,0.7547169811320755,LDA
225,12,0.8301886792452831,LDA
226,12,0.7169811320754716,LDA
227,12,0.7735849056603774,LDA
228,12,0.7547169811320755,LDA
229,12,0.7358490566037735,LDA
230,12,0.6792452830188679,MLP
231,12,0.8113207547169812,MLP
232,12,0.8113207547169812,MLP
233,12,0.7924528301886793,MLP
234,12,0.7735849056603774,MLP
235,12,0.8113207547169812,MLP
236,12,0.7169811320754716,MLP
237,12,0.7547169811320755,MLP
238,12,0.7169811320754716,MLP
239,12,0.6792452830188679,MLP
240,13,0.6833333333333333,LDA
241,13,0.65,LDA
242,13,0.6166666666666667,LDA
243,13,0.6333333333333333,LDA
244,13,0.65,LDA
245,13,0.6333333333333333,LDA
246,13,0.6666666666666666,LDA
247,13,0.7,LDA
248,13,0.6,LDA
249,13,0.7,LDA
250,13,0.6166666666666667,MLP
251,13,0.7,MLP
252,13,0.6333333333333333,MLP
253,13,0.55,MLP
254,13,0.65,MLP
255,13,0.6166666666666667,MLP
256,13,0.65,MLP
257,13,0.6333333333333333,MLP
258,13,0.6,MLP
259,13,0.6666666666666666,MLP
260,14,0.9833333333333333,LDA
261,14,0.95,LDA
262,14,0.9666666666666667,LDA
263,14,0.9833333333333333,LDA
264,14,0.9833333333333333,LDA
265,14,1.0,LDA
266,14,0.9666666666666667,LDA
267,14,0.9833333333333333,LDA
268,14,1.0,LDA
269,14,0.9666666666666667,LDA
270,14,0.95,MLP
271,14,0.9333333333333333,MLP
272,14,0.9333333333333333,MLP
273,14,0.9666666666666667,MLP
274,14,0.9833333333333333,MLP
275,14,1.0,MLP
276,14,0.95,MLP
277,14,0.9833333333333333,MLP
278,14,0.9666666666666667,MLP
279,14,0.9666666666666667,MLP
280,15,0.7719298245614035,LDA
281,15,0.7017543859649122,LDA
282,15,0.7192982456140351,LDA
283,15,0.7192982456140351,LDA
284,15,0.7192982456140351,LDA
285,15,0.7719298245614035,LDA
286,15,0.7719298245614035,LDA
287,15,0.7192982456140351,LDA
288,15,0.7894736842105263,LDA
289,15,0.7543859649122807,LDA
290,15,0.7368421052631579,MLP
291,15,0.7368421052631579,MLP
292,15,0.7543859649122807,MLP
293,15,0.7543859649122807,MLP
294,15,0.6491228070175439,MLP
295,15,0.7368421052631579,MLP
296,15,0.6842105263157895,MLP
297,15,0.7368421052631579,MLP
298,15,0.7368421052631579,MLP
299,15,0.7543859649122807,MLP
300,16,0.6333333333333333,LDA
301,16,0.6166666666666667,LDA
302,16,0.6,LDA
303,16,0.48333333333333334,LDA
304,16,0.5333333333333333,LDA
305,16,0.6166666666666667,LDA
306,16,0.5,LDA
307,16,0.6333333333333333,LDA
308,16,0.6166666666666667,LDA
309,16,0.65,LDA
310,16,0.6666666666666666,MLP
311,16,0.6666666666666666,MLP
312,16,0.5333333333333333,MLP
